model,role,endpoint,indicator,n,positive_n,auc,ci_low,ci_high,p_one_sided_gt_half,holm_p_within_model_endpoint
Gemma-3-1B-IT,replication_model,framing_score_gte_4,panel:placebo,146,30,0.5229885057471264,0.40186142248032103,0.6343035908470338,0.3665266946610678,
Gemma-3-1B-IT,replication_model,exact_spirals_score_gte_7,conspiracy__mean_logit,146,6,0.2851190476190476,0.12565559440559443,0.48359375,0.9803685897435898,1.0
Gemma-3-1B-IT,replication_model,exact_spirals_score_gte_7,absolutely__rank_strength,146,6,0.48630952380952375,0.15634739286784538,0.7670762336255295,0.5376602564102564,1.0
Gemma-3-1B-IT,replication_model,exact_spirals_score_gte_7,misinformation__rank_strength,146,6,0.7702380952380952,0.5916749916749917,0.9375886524822695,0.001201923076923077,0.007211538461538462
Gemma-3-1B-IT,replication_model,exact_spirals_score_gte_7,misinformation__max_logit,146,6,0.6113095238095237,0.3802083333333333,0.83815654342723,0.15725160256410256,0.6290064102564102
Gemma-3-1B-IT,replication_model,exact_spirals_score_gte_7,misinterpretation__max_logit,146,6,0.6220238095238095,0.4386129275653924,0.796504157926281,0.08774038461538461,0.438701923076923
Gemma-3-1B-IT,replication_model,exact_spirals_score_gte_7,hallucination__mean_logit,146,6,0.3392857142857143,0.13747783906234612,0.5799312943262411,0.9222756410256411,1.0
Gemma-3-1B-IT,replication_model,exact_spirals_score_gte_7,panel:semantic,146,6,0.5119047619047619,0.3333333333333333,0.6690140845070423,0.437099358974359,
Gemma-3-1B-IT,replication_model,exact_spirals_score_gte_7,panel:placebo,146,6,0.5785714285714286,0.2797514985014985,0.8162014705232685,0.2686298076923077,
Llama-3.1-8B-Instruct,replication_model,framing_score_gte_4,conspiracy__mean_logit,146,47,0.6466795615731785,0.548192372642837,0.7400635356023286,0.0015996800639872025,0.009598080383923215
Llama-3.1-8B-Instruct,replication_model,framing_score_gte_4,absolutely__rank_strength,146,47,0.57618740597464,0.47230326745395174,0.6745160843988747,0.07818436312737452,0.15636872625474904
Llama-3.1-8B-Instruct,replication_model,framing_score_gte_4,misinformation__rank_strength,146,47,0.6302385557704707,0.5274547173867306,0.7216305803571428,0.008598280343931213,0.04099180163967206
Llama-3.1-8B-Instruct,replication_model,framing_score_gte_4,misinformation__max_logit,146,47,0.6163765312701484,0.5143825939869823,0.7093448823819773,0.015796840631873626,0.047390521895620874
Llama-3.1-8B-Instruct,replication_model,framing_score_gte_4,misinterpretation__max_logit,146,47,0.6277670320223512,0.5276175297246558,0.7218331917147403,0.008198360327934412,0.04099180163967206
Llama-3.1-8B-Instruct,replication_model,framing_score_gte_4,hallucination__mean_logit,146,47,0.49752847625188057,0.392534300652079,0.6013248755189107,0.5202959408118376,0.5202959408118376
Llama-3.1-8B-Instruct,replication_model,framing_score_gte_4,panel:semantic,146,47,0.6438856651622609,0.5435734766467563,0.7337100881365544,0.003999200159968006,
Llama-3.1-8B-Instruct,replication_model,framing_score_gte_4,panel:placebo,146,47,0.5420159037180314,0.43322086427392736,0.6488082797075271,0.22055588882223556,
Llama-3.1-8B-Instruct,replication_model,exact_spirals_score_gte_7,conspiracy__mean_logit,146,15,0.6895674300254453,0.5338357354449129,0.8300320206987668,0.01259748050389922,0.07558488302339532
Llama-3.1-8B-Instruct,replication_model,exact_spirals_score_gte_7,absolutely__rank_strength,146,15,0.44452926208651394,0.2771988122171946,0.6006752223729835,0.7476504699060188,0.7476504699060188
Llama-3.1-8B-Instruct,replication_model,exact_spirals_score_gte_7,misinformation__rank_strength,146,15,0.6748091603053435,0.5147422946679676,0.8207649375011609,0.01759648070385923,0.08798240351929615
Llama-3.1-8B-Instruct,replication_model,exact_spirals_score_gte_7,misinformation__max_logit,146,15,0.6707379134860051,0.5083722014925374,0.820746923788524,0.021595680863827234,0.08798240351929615
Llama-3.1-8B-Instruct,replication_model,exact_spirals_score_gte_7,misinterpretation__max_logit,146,15,0.6600508905852417,0.4972858044733045,0.8121337704858063,0.027394521095780843,0.08798240351929615
Llama-3.1-8B-Instruct,replication_model,exact_spirals_score_gte_7,hallucination__mean_logit,146,15,0.5712468193384224,0.38563349347540665,0.7473150205058098,0.21255748850229955,0.4251149770045991
Llama-3.1-8B-Instruct,replication_model,exact_spirals_score_gte_7,panel:semantic,146,15,0.6610687022900763,0.498970622253065,0.8127980981691919,0.02659468106378724,
Llama-3.1-8B-Instruct,replication_model,exact_spirals_score_gte_7,panel:placebo,146,15,0.46005089058524173,0.27168582131166813,0.6447716708953742,0.6746650669866027,
